PING ycombinator.com (52.84.169.3) 56(84) bytes of data.
64 bytes from 52.84.169.3: icmp_seq=83 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=84 ttl=243 time=29.5 ms
64 bytes from 52.84.169.3: icmp_seq=85 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=86 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=87 ttl=243 time=29.5 ms
64 bytes from 52.84.169.3: icmp_seq=88 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=89 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=90 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=91 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=92 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=93 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=94 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=95 ttl=243 time=30.4 ms
64 bytes from 52.84.169.3: icmp_seq=96 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=97 ttl=243 time=31.3 ms
64 bytes from 52.84.169.3: icmp_seq=98 ttl=243 time=34.4 ms
64 bytes from 52.84.169.3: icmp_seq=99 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=100 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=101 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=102 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=103 ttl=243 time=28.7 ms
64 bytes from 52.84.169.3: icmp_seq=104 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=105 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=106 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=107 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=108 ttl=243 time=29.2 ms
64 bytes from 52.84.169.3: icmp_seq=109 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=110 ttl=243 time=28.9 ms
64 bytes from 52.84.169.3: icmp_seq=111 ttl=243 time=29.2 ms
64 bytes from 52.84.169.3: icmp_seq=112 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=113 ttl=243 time=31.1 ms
64 bytes from 52.84.169.3: icmp_seq=114 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=115 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=116 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=117 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=118 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=119 ttl=243 time=29.6 ms
64 bytes from 52.84.169.3: icmp_seq=120 ttl=243 time=30.6 ms
64 bytes from 52.84.169.3: icmp_seq=121 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=122 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=123 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=124 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=125 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=126 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=127 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=128 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=129 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=130 ttl=243 time=27.5 ms
64 bytes from 52.84.169.3: icmp_seq=131 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=132 ttl=243 time=31.5 ms
64 bytes from 52.84.169.3: icmp_seq=133 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=134 ttl=243 time=28.9 ms
64 bytes from 52.84.169.3: icmp_seq=135 ttl=243 time=30.2 ms
64 bytes from 52.84.169.3: icmp_seq=136 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=137 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=138 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=139 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=140 ttl=243 time=27.4 ms
64 bytes from 52.84.169.3: icmp_seq=141 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=142 ttl=243 time=31.7 ms
64 bytes from 52.84.169.3: icmp_seq=143 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=144 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=145 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=146 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=147 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=148 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=149 ttl=243 time=30.1 ms
64 bytes from 52.84.169.3: icmp_seq=150 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=151 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=152 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=153 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=154 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=155 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=156 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=157 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=158 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=159 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=160 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=161 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=162 ttl=243 time=32.0 ms
64 bytes from 52.84.169.3: icmp_seq=163 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=164 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=165 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=166 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=167 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=168 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=169 ttl=243 time=29.1 ms
