PING google.com (142.251.33.78) 56(84) bytes of data.
64 bytes from 142.251.33.78: icmp_seq=67 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=68 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=69 ttl=118 time=33.2 ms
64 bytes from 142.251.33.78: icmp_seq=70 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=71 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=72 ttl=118 time=26.7 ms
64 bytes from 142.251.33.78: icmp_seq=73 ttl=118 time=27.9 ms
64 bytes from 142.251.33.78: icmp_seq=74 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=75 ttl=118 time=26.1 ms
64 bytes from 142.251.33.78: icmp_seq=76 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=77 ttl=118 time=27.3 ms
64 bytes from 142.251.33.78: icmp_seq=78 ttl=118 time=27.8 ms
64 bytes from 142.251.33.78: icmp_seq=79 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=80 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=81 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=82 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=83 ttl=118 time=25.9 ms
64 bytes from 142.251.33.78: icmp_seq=84 ttl=118 time=25.5 ms
64 bytes from 142.251.33.78: icmp_seq=85 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=86 ttl=118 time=26.7 ms
64 bytes from 142.251.33.78: icmp_seq=87 ttl=118 time=25.4 ms
64 bytes from 142.251.33.78: icmp_seq=88 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=89 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=90 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=91 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=92 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=93 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=94 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=95 ttl=118 time=25.9 ms
64 bytes from 142.251.33.78: icmp_seq=96 ttl=118 time=26.0 ms
64 bytes from 142.251.33.78: icmp_seq=97 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=98 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=99 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=100 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=101 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=102 ttl=118 time=27.5 ms
64 bytes from 142.251.33.78: icmp_seq=103 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=104 ttl=118 time=28.6 ms
64 bytes from 142.251.33.78: icmp_seq=105 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=106 ttl=118 time=28.0 ms
64 bytes from 142.251.33.78: icmp_seq=107 ttl=118 time=26.5 ms
64 bytes from 142.251.33.78: icmp_seq=108 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=109 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=110 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=111 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=112 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=113 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=114 ttl=118 time=76.1 ms
64 bytes from 142.251.33.78: icmp_seq=115 ttl=118 time=31.5 ms
64 bytes from 142.251.33.78: icmp_seq=116 ttl=118 time=28.8 ms
64 bytes from 142.251.33.78: icmp_seq=117 ttl=118 time=28.7 ms
64 bytes from 142.251.33.78: icmp_seq=118 ttl=118 time=29.1 ms
64 bytes from 142.251.33.78: icmp_seq=119 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=120 ttl=118 time=25.5 ms
64 bytes from 142.251.33.78: icmp_seq=121 ttl=118 time=31.2 ms
64 bytes from 142.251.33.78: icmp_seq=122 ttl=118 time=27.4 ms
64 bytes from 142.251.33.78: icmp_seq=123 ttl=118 time=25.5 ms
64 bytes from 142.251.33.78: icmp_seq=124 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=125 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=126 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=127 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=128 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=129 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=130 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=131 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=132 ttl=118 time=25.8 ms
64 bytes from 142.251.33.78: icmp_seq=133 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=134 ttl=118 time=27.0 ms
64 bytes from 142.251.33.78: icmp_seq=135 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=136 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=137 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=138 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=139 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=140 ttl=118 time=26.9 ms
64 bytes from 142.251.33.78: icmp_seq=141 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=142 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=143 ttl=118 time=28.6 ms
64 bytes from 142.251.33.78: icmp_seq=144 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=145 ttl=118 time=26.8 ms
64 bytes from 142.251.33.78: icmp_seq=146 ttl=118 time=28.5 ms
64 bytes from 142.251.33.78: icmp_seq=147 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=148 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=149 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=150 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=151 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=152 ttl=118 time=28.3 ms
64 bytes from 142.251.33.78: icmp_seq=153 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=154 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=155 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=156 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=157 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=158 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=159 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=160 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=161 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=162 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=163 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=164 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=165 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=166 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=167 ttl=118 time=29.7 ms
64 bytes from 142.251.33.78: icmp_seq=168 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=169 ttl=118 time=26.0 ms
64 bytes from 142.251.33.78: icmp_seq=170 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=171 ttl=118 time=26.5 ms
64 bytes from 142.251.33.78: icmp_seq=172 ttl=118 time=29.1 ms
64 bytes from 142.251.33.78: icmp_seq=173 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=174 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=175 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=176 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=177 ttl=118 time=25.9 ms
64 bytes from 142.251.33.78: icmp_seq=178 ttl=118 time=27.1 ms
64 bytes from 142.251.33.78: icmp_seq=179 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=180 ttl=118 time=28.3 ms
64 bytes from 142.251.33.78: icmp_seq=181 ttl=118 time=27.3 ms
64 bytes from 142.251.33.78: icmp_seq=182 ttl=118 time=26.5 ms
64 bytes from 142.251.33.78: icmp_seq=183 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=184 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=185 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=186 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=187 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=188 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=189 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=190 ttl=118 time=23.5 ms
64 bytes from 142.251.33.78: icmp_seq=191 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=192 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=193 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=194 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=195 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=196 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=197 ttl=118 time=28.9 ms
64 bytes from 142.251.33.78: icmp_seq=198 ttl=118 time=28.3 ms
64 bytes from 142.251.33.78: icmp_seq=199 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=200 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=201 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=202 ttl=118 time=23.7 ms
64 bytes from 142.251.33.78: icmp_seq=203 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=204 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=205 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=206 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=207 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=208 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=209 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=210 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=211 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=212 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=213 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=214 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=215 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=216 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=217 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=218 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=219 ttl=118 time=29.5 ms
64 bytes from 142.251.33.78: icmp_seq=220 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=221 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=222 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=223 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=224 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=225 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=226 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=227 ttl=118 time=25.0 ms
64 bytes from 142.251.33.78: icmp_seq=228 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=229 ttl=118 time=25.8 ms
64 bytes from 142.251.33.78: icmp_seq=230 ttl=118 time=28.4 ms
64 bytes from 142.251.33.78: icmp_seq=231 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=232 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=233 ttl=118 time=28.5 ms
64 bytes from 142.251.33.78: icmp_seq=234 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=235 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=236 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=237 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=238 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=239 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=240 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=241 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=242 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=243 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=244 ttl=118 time=26.5 ms
64 bytes from 142.251.33.78: icmp_seq=245 ttl=118 time=25.4 ms
64 bytes from 142.251.33.78: icmp_seq=246 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=247 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=248 ttl=118 time=25.5 ms
64 bytes from 142.251.33.78: icmp_seq=249 ttl=118 time=26.5 ms
64 bytes from 142.251.33.78: icmp_seq=250 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=251 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=252 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=253 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=254 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=255 ttl=118 time=25.7 ms
64 bytes from 142.251.33.78: icmp_seq=256 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=257 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=258 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=259 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=260 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=261 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=262 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=263 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=264 ttl=118 time=25.7 ms
64 bytes from 142.251.33.78: icmp_seq=265 ttl=118 time=26.0 ms
64 bytes from 142.251.33.78: icmp_seq=266 ttl=118 time=28.9 ms
64 bytes from 142.251.33.78: icmp_seq=267 ttl=118 time=26.0 ms
64 bytes from 142.251.33.78: icmp_seq=268 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=269 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=270 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=271 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=272 ttl=118 time=25.2 ms
64 bytes from 142.251.33.78: icmp_seq=273 ttl=118 time=23.4 ms
64 bytes from 142.251.33.78: icmp_seq=274 ttl=118 time=34.6 ms
64 bytes from 142.251.33.78: icmp_seq=275 ttl=118 time=23.7 ms
64 bytes from 142.251.33.78: icmp_seq=276 ttl=118 time=32.5 ms
64 bytes from 142.251.33.78: icmp_seq=277 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=278 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=279 ttl=118 time=27.2 ms
64 bytes from 142.251.33.78: icmp_seq=280 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=281 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=282 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=283 ttl=118 time=26.3 ms
64 bytes from 142.251.33.78: icmp_seq=284 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=285 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=286 ttl=118 time=23.3 ms
64 bytes from 142.251.33.78: icmp_seq=287 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=288 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=289 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=290 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=291 ttl=118 time=25.5 ms
64 bytes from 142.251.33.78: icmp_seq=292 ttl=118 time=23.4 ms
64 bytes from 142.251.33.78: icmp_seq=293 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=294 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=295 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=296 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=297 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=298 ttl=118 time=25.7 ms
64 bytes from 142.251.33.78: icmp_seq=299 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=300 ttl=118 time=25.4 ms
64 bytes from 142.251.33.78: icmp_seq=301 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=302 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=303 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=304 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=305 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=306 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=307 ttl=118 time=25.4 ms
64 bytes from 142.251.33.78: icmp_seq=308 ttl=118 time=30.9 ms
64 bytes from 142.251.33.78: icmp_seq=309 ttl=118 time=27.5 ms
64 bytes from 142.251.33.78: icmp_seq=310 ttl=118 time=32.4 ms
64 bytes from 142.251.33.78: icmp_seq=311 ttl=118 time=26.6 ms
64 bytes from 142.251.33.78: icmp_seq=312 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=313 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=314 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=315 ttl=118 time=27.0 ms
64 bytes from 142.251.33.78: icmp_seq=316 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=317 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=318 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=319 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=320 ttl=118 time=28.2 ms
64 bytes from 142.251.33.78: icmp_seq=321 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=322 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=323 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=324 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=325 ttl=118 time=34.4 ms
64 bytes from 142.251.33.78: icmp_seq=326 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=327 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=328 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=329 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=330 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=331 ttl=118 time=24.6 ms
64 bytes from 142.251.33.78: icmp_seq=332 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=333 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=334 ttl=118 time=26.4 ms
64 bytes from 142.251.33.78: icmp_seq=335 ttl=118 time=26.9 ms
64 bytes from 142.251.33.78: icmp_seq=336 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=337 ttl=118 time=27.9 ms
64 bytes from 142.251.33.78: icmp_seq=338 ttl=118 time=27.6 ms
64 bytes from 142.251.33.78: icmp_seq=339 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=340 ttl=118 time=30.3 ms
64 bytes from 142.251.33.78: icmp_seq=341 ttl=118 time=27.7 ms
64 bytes from 142.251.33.78: icmp_seq=342 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=343 ttl=118 time=28.6 ms
64 bytes from 142.251.33.78: icmp_seq=344 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=345 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=346 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=347 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=348 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=349 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=350 ttl=118 time=26.7 ms
64 bytes from 142.251.33.78: icmp_seq=351 ttl=118 time=24.7 ms
64 bytes from 142.251.33.78: icmp_seq=352 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=353 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=354 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=355 ttl=118 time=62.1 ms
64 bytes from 142.251.33.78: icmp_seq=356 ttl=118 time=25.8 ms
64 bytes from 142.251.33.78: icmp_seq=357 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=358 ttl=118 time=24.4 ms
